	frequency
the	3772
and	2212
of	2174
to	2102
i	1694
a	1670
he	1540
you	1445
that	1362
it	1343
in	1210
was	1083
his	995
is	906
had	833
him	661
with	659
for	587
as	571
at	564
have	561
me	523
not	474
be	454
her	439
she	431
t	418
dorian	414
what	399
but	396
one	393
are	372
on	357
there	337
they	318
would	308
my	303
all	294
said	262
s	262
don	255
from	254
were	251
lord	248
so	248
henry	237
been	236
am	232
life	232
an	229
like	227
who	224
if	224
about	223
or	219
by	218
when	218
no	218
your	207
some	205
them	203
will	201
gray	199
do	185
man	180
harry	177
know	176
never	176
over	175
has	169
we	169
into	159
basil	158
their	156
out	156
must	154
up	150
how	149
this	148
then	147
can	147
more	136
could	136
now	134
good	133
own	130
things	128
think	127
something	126
its	126
very	123
come	123
see	122
than	121
thing	121
us	121
seemed	119
which	119
should	115
go	115
love	112
only	111
time	110
always	110
made	110
eyes	109
face	107
quite	107
too	106
himself	106
want	105
after	103
really	103
room	102
down	101
people	101
back	100
came	100
any	100
did	100
away	99
night	98
cried	95
looked	94
world	93
tell	93
say	93
nothing	93
why	92
much	91
look	91
hallward	91
going	87
mr	87
little	87
answered	87
sibyl	87
yes	85
upon	84
thought	84
through	84
round	80
once	80
shall	79
ever	78
told	77
art	77
such	77
day	77
felt	76
great	75
long	74
most	74
men	74
before	73
dear	73
again	72
our	72
yet	72
young	72
other	72
looking	70
everything	69
lady	69
picture	69
soul	68
moment	68
anything	67
well	67
women	66
let	66
hand	66
door	65
those	65
two	64
being	63
went	63
asked	61
old	61
across	61
might	61
afraid	61
passed	60
make	59
table	59
white	59
wonderful	58
vane	58
lips	57
sir	56
beauty	56
left	55
every	54
better	54
turned	54
got	54
where	54
head	53
house	53
hands	52
lad	52
portrait	52
here	51
course	51
done	50
oh	50
right	49
believe	49
even	49
gold	49
true	49
still	49
last	48
knew	48
horrible	48
work	48
curious	48
first	48
voice	47
rather	47
myself	47
name	47
suddenly	47
strange	46
passion	46
found	46
whose	46
get	45
pleasure	45
take	45
way	45
began	44
mother	44
saw	44
beautiful	44
just	44
duchess	44
dreadful	43
talk	43
woman	43
charming	43
against	42
murmured	42
put	42
wish	42
simply	41
girl	41
secret	41
red	41
real	41
few	41
many	41
seen	41
laughed	41
dead	41
wonder	40
painter	40
terrible	40
play	40
each	40
met	40
perhaps	40
though	39
give	39
years	39
absolutely	39
merely	39
because	39
often	38
indeed	37
heard	37
youth	37
bad	37
used	37
new	37
past	37
feel	36
mad	36
whole	36
yourself	36
having	36
behind	36
boy	36
certainly	36
half	35
ah	35
mind	35
suppose	35
forget	35
stood	34
air	34
place	34
sense	34
took	34
death	33
sure	33
find	33
almost	33
matter	33
rose	33
music	33
does	33
alan	33
joy	33
may	32
answer	32
won	32
words	32
painted	32
ask	32
hideous	32
cannot	31
sat	31
feet	31
chair	31
pain	30
mean	30
friend	30
coloured	30
age	30
poor	30
became	30
nature	30
reason	30
same	30
black	30
read	30
fancy	29
opened	29
without	29
god	29
friends	29
sorry	29
terror	29
artist	29
hair	29
help	29
delightful	29
live	28
end	28
shook	28
home	28
seems	28
become	28
makes	28
blue	28
body	28
sin	28
wild	28
moments	28
campbell	28
whom	28
heart	27
heavy	27
known	27
call	27
three	27
brought	27
morning	27
book	27
kind	27
these	27
garden	27
sins	27
late	26
entered	26
expression	26
evening	26
gone	26
happy	26
large	26
besides	26
charm	26
sit	26
exquisite	26
try	26
light	26
off	26
times	25
others	25
fingers	25
understand	25
either	25
monstrous	25
both	24
smile	24
days	24
married	24
romance	24
green	24
lives	24
brain	24
clock	24
till	24
silver	24
set	24
chapter	24
remember	24
walked	24
together	24
gentleman	24
word	24
else	24
passions	23
conscious	23
perfectly	23
influence	23
front	23
drew	23
blood	23
however	23
canvas	23
senses	23
mere	23
sometimes	23
itself	23
exclaimed	22
wife	22
called	22
broke	22
changed	22
perfect	22
fellow	22
laughing	22
hour	22
narborough	22
hope	22
son	22
money	22
yellow	22
best	22
gave	22
colour	21
manner	21
next	21
certain	21
loved	21
remembered	21
form	21
between	21
sort	21
happened	21
james	21
window	21
enough	21
coat	21
street	21
spoke	21
far	21
act	21
minutes	21
leave	21
servant	21
horror	21
smiling	20
flung	20
given	20
watched	20
didn	20
care	20
feeling	20
club	20
laugh	20
change	20
theatre	20
part	20
hear	20
lying	20
de	20
bear	20
self	20
died	20
bye	20
least	20
dinner	20
grew	20
leaves	20
soon	20
prince	19
speak	19
whatever	19
except	19
present	19
serious	19
london	19
cold	19
filled	19
memory	19
rate	19
also	19
arm	19
kept	19
point	19
fell	19
keep	19
glanced	19
extraordinary	19
subtle	19
coming	19
someone	19
less	19
studio	18
use	18
started	18
shame	18
painting	18
paris	18
waiting	18
idea	18
says	18
themselves	18
already	18
wrong	18
five	18
screen	18
marriage	18
scarlet	18
tired	18
open	18
fact	18
touch	18
dress	18
horribly	18
entirely	18
while	18
slowly	18
tea	18
ago	18
interest	18
doing	18
key	18
anyone	18
fire	18
stirred	17
smiled	17
talking	17
taking	17
bring	17
close	17
low	17
marvellous	17
months	17
huge	17
mouth	17
glad	17
child	17
impossible	17
tragedy	17
muttered	17
another	17
watch	17
crept	17
lost	17
flower	17
towards	17
alone	17
society	17
taken	17
write	17
wanted	17
pity	17
england	16
followed	16
silly	16
o	16
full	16
hardly	16
killed	16
sitting	16
send	16
evil	16
stay	16
common	16
century	16
fantastic	16
horrid	16
personality	16
imagination	16
terribly	16
since	16
shallow	16
hung	16
upstairs	16
different	16
glass	16
tears	15
fear	15
jim	15
saying	15
marry	15
english	15
vulgar	15
purple	15
stained	15
chance	15
husband	15
played	15
herself	15
under	15
shadows	15
cigarette	15
touched	15
agatha	15
absurd	15
pale	15
silk	15
acting	15
sent	15
lines	15
person	15
stopped	15
sought	14
grace	14
country	14
gilt	14
ten	14
fascinating	14
meet	14
lamp	14
appeared	14
intellectual	14
box	14
telling	14
reached	14
flowers	14
experience	14
die	14
modern	14
note	14
standing	14
thin	14
corner	14
question	14
subject	14
romantic	14
rich	14
silent	14
twenty	14
letter	14
aunt	14
nearly	14
desire	13
moved	13
story	13
valet	13
reality	13
opera	13
uncle	13
shoulders	13
arms	13
breath	13
seven	13
type	13
looks	13
juliet	13
fond	13
stage	13
dim	13
dull	13
bit	13
scene	13
show	13
strangely	13
sigh	13
lip	13
taught	13
covered	13
visible	13
small	13
library	13
surely	13
ran	13
alter	13
lovely	13
sound	13
extremely	13
dressed	13
curiosity	13
sighed	13
means	13
forgive	13
whispered	13
top	13
hidden	13
mode	13
erskine	13
lit	13
father	13
kill	13
able	13
making	13
side	13
store	12
curtain	12
geoffrey	12
knows	12
revealed	12
forehead	12
worship	12
houses	12
genius	12
ill	12
cruel	12
year	12
beginning	12
conscience	12
embroidered	12
discovered	12
summer	12
wondered	12
pay	12
within	12
stop	12
yesterday	12
interesting	12
boyhood	12
pretty	12
windows	12
rough	12
grave	12
doesn	12
listen	12
crime	12
caught	12
forgotten	12
lived	12
ideal	12
wind	12
afterwards	12
determined	12
whether	12
bright	12
lose	12
trying	12
selby	12
mist	12
morrow	12
sunlight	12
seem	12
lay	12
mine	12
effect	12
trouble	12
nowadays	12
knife	12
town	11
troubled	11
ourselves	11
giving	11
worth	11
roses	11
scientific	11
tragic	11
foolish	11
mrs	11
shown	11
spirit	11
hall	11
tedious	11
spoiled	11
wrought	11
shaped	11
annoyed	11
escape	11
silence	11
birds	11
dine	11
early	11
curiously	11
value	11
jealous	11
placed	11
gazing	11
sick	11
beside	11
paper	11
lead	11
piece	11
floor	11
closed	11
public	11
putting	11
eight	11
hat	11
sailor	11
somewhat	11
doubt	11
second	11
hate	11
cheeks	11
shot	11
bell	11
cry	11
finished	11
understood	11
walking	11
