id	author-fullname	author	birth	death	gender	pages-in-manual	novels	works	life-span	digitzed-by
1	Rosalía de Castro	RdCastro	1837	1885	female	17	1	1	48	6
2	Enrique Pérez Escrich	Escrich	1829	1897	male	1	4	17	68	5
3	Antonio de Trueba y de la Quintana	Trueba	1819	1889	male	1	0	1	70	6
4	José Selgas Carrasco	Selgas	1822	1882	male	1	5	7	60	4
5	Francisco Navarro Villoslada	Villoslada	1818	1895	male	1	0	0	77	5
6	José de Castro y Serrano	CastroSerrano	1828	1896	male	1	0	0	68	4
7	María del Pilar Sinués	Sinues	1835	1893	female	0	4	17	58	5
8	Pedro Antonio Alarcón	Alarcon	1833	1891	male	54	3	10	58	7
9	José María de Pereda	Pereda	1833	1906	male	55	10	19	73	7
10	Juan Valera	Valera	1824	1905	male	63	3	7	81	7
11	Benito Pérez Galdós	Galdos	1843	1920	male	181	63	63	77	7
12	Emilia Pardo Bazán	Bazan	1851	1921	female	45	21	201	70	6
13	Leopoldo Alas, Clarín	Clarin	1852	1901	male	66	4	15	49	6
14	Palacio Valdés	Valdes	1853	1938	male	34	20	25	85	6
15	Agustín Espinosa	Coloma	1851	1915	male	16	4	17	64	6
16	Jacinto Octavio Picón	Picon	1852	1923	male	12	8	13	71	5
17	José Ortega Munilla	Munilla	1856	1922	male	16	10	31	66	3
18	Vicente Blasco Ibáñez	BlascoIbanez	1867	1928	male	23	31	36	61	4
19	Alejandro Sawa	Sawa	1862	1909	male	8	1	9	47	3
20	Eduardo Zamacois	Zamacois	1873	1971	male	3	21	35	98	5
21	Felipe Trigo	Trigo	1864	1916	male	13	15	27	52	5
22	Ricardo León	Leon	1877	1943	male	8	15	22	66	2
23	Concha Espina	CEspina	1877	1955	female	5	13	19	78	3
24	Silverio Lanza	Lanza	1856	1912	male	13	7	12	56	3
25	Ciro Bayo	Bayo	1859	1939	male	3	2	11	80	1
26	José Nogales	Nogales	1860	1908	male	1	2	9	48	1
27	Manuel Ciges Aparicio	Aparicio	1873	1936	male	4	8	19	63	1
28	Manuel Bueno	Bueno	1874	1936	male	1	6	10	62	1
29	José López Pinillos	Pinillos	1875	1922	male	2	3	10	47	1
30	Ricardo Baroja	RBaroja	1871	1953	male	2	7	8	82	1
31	Camilo Bargiela	Bargiela	1864	1910	male	1	0	1	46	0
32	Joaquín Costa	Costa	1846	1911	male	16	2	5	65	5
33	Ramiro de Maeztu	Maeztu	1874	1936	male	21	1	6	62	2
34	Lucas Mallada	Mallada	1841	1921	male	0	0	1	80	3
35	Ricardo Macías Picavea	Picavea	1847	1899	male	4	4	5	52	2
36	Luis Morote	Morote	1862	1913	male	1	0	2	51	2
37	Rafael Altamira	Altamira	1866	1951	male	1	2	15	85	4
38	José Mª Salaverría	Salaverria	1873	1940	male	3	3	15	67	1
